Ref,Val,Package,PosX,PosY,Rot,Side
"R13","2.2R/0.5W","R_0805_2012Metric",122.169218,-38.611644,-90.000000,top
"R25","1R/0.5W","R_0805_2012Metric",49.512500,-91.500000,0.000000,top
"R26","1R/0.5W","R_0805_2012Metric",75.312500,-91.400000,0.000000,top
"R27","1R/0.5W","R_0805_2012Metric",59.387500,-89.500000,180.000000,top
"R28","1R/0.5W","R_0805_2012Metric",85.187500,-89.600000,180.000000,top
"R31","10k","R_0805_2012Metric",219.570000,-89.930000,90.000000,top
"R32","84.5k","R_0805_2012Metric",81.700000,-51.490000,180.000000,top
"R33","2.7k","R_0805_2012Metric",100.816218,-35.442642,-90.000000,top
"R34","16.2k","R_0805_2012Metric",77.950000,-51.490000,180.000000,top
"R35","2.7k","R_0805_2012Metric",102.756218,-35.442642,-90.000000,top
"R36","10k","R_0805_2012Metric",118.109218,-38.621644,-90.000000,top
"R37","10k","R_0805_2012Metric",116.159218,-38.621644,-90.000000,top
"R38","10k","R_0805_2012Metric",114.219218,-38.621644,90.000000,top
"R45","1R/0.5W","R_0805_2012Metric",178.112500,-91.500000,0.000000,top
"R46","1R/0.5W","R_0805_2012Metric",188.612500,-89.600000,180.000000,top
"R47","1R/0.5W","R_0805_2012Metric",101.112500,-91.400000,0.000000,top
"R48","1R/0.5W","R_0805_2012Metric",111.003750,-89.500000,180.000000,top
"R49","1R/0.5W","R_0805_2012Metric",152.487500,-91.500000,0.000000,top
"R50","1R/0.5W","R_0805_2012Metric",162.412500,-89.600000,180.000000,top
"R52","1R/0.5W","R_0805_2012Metric",126.812500,-91.500000,0.000000,top
"R53","1R/0.5W","R_0805_2012Metric",136.787500,-89.600000,180.000000,top
"U1","CSD95472Q5MC","CSD95472-SON-5x6",131.000000,-85.100000,-90.000000,top
"U2","BM1370_mode1","BM1370",174.000000,-152.500000,0.000000,top
"U3","TPS53667","Texas_RHA0040B_VQFN-40-1EP_6x6mm_P0.5mm_EP4.15x4.15mm_ThermalVias",114.169218,-45.191644,90.000000,top
"U4","CSD95472Q5MC","CSD95472-SON-5x6",53.877500,-85.125000,-90.000000,top
"U5","CSD95472Q5MC","CSD95472-SON-5x6",79.497500,-85.000000,-90.000000,top
"U6","AP3211","SOT-23-6",80.890000,-55.570000,-90.000000,top
"U7","MCP1824T-0802E","SOT-23-5",212.882500,-92.110000,-90.000000,top
"U9","BM1370_mode1","BM1370",194.000000,-152.500000,0.000000,top
"U10","BM1370_mode1","BM1370",194.000000,-172.500000,180.000000,top
"U11","BM1370_mode1","BM1370",174.000000,-172.500000,180.000000,top
"U12","BM1370_mode1","BM1370",95.000000,-172.500000,180.000000,top
"U13","BM1370_mode1","BM1370",75.000000,-172.500000,180.000000,top
"U14","BM1370_mode1","BM1370",75.000000,-152.500000,0.000000,top
"U15","BM1370_mode1","BM1370",95.000000,-152.500000,0.000000,top
"U16","CSD95472Q5MC","CSD95472-SON-5x6",105.200000,-85.300000,-90.000000,top
"U17","TMP1075","TMP1075-DRL",85.000000,-162.500000,0.000000,top
"U18","CSD95472Q5MC","CSD95472-SON-5x6",182.417500,-85.300000,-90.000000,top
"U19","CSD95472Q5MC","CSD95472-SON-5x6",157.200000,-85.300000,-90.000000,top
"U30","T-Display-S3","T-Display-S3",186.300000,-47.020000,90.000000,top
"U32","EMC2302-1","MSOP-10_3x3mm_P0.5mm",103.526218,-39.022642,180.000000,top
"U33","TXU0102-DCU","VSSOP-8_2.3x2mm_P0.5mm",101.199218,-46.874144,90.000000,top
"U35","TXU0304PW","TSSOP-14-1EP_4.4x5mm_P0.65mm",204.700000,-92.110000,-90.000000,top
"U36","MCP1824T-1202E","SOT-23-5",216.512500,-92.110000,-90.000000,top
"U37","TMP1075","TMP1075-DRL",184.000000,-162.500000,180.000000,top
