Designator,Mid X,Mid Y,Rotation,Layer
C30,156.530983,-131.151644,270.0,bottom
C31,69.230983,-132.841644,0.0,bottom
C32,127.530983,-131.151644,270.0,bottom
C33,98.230983,-136.801644,0.0,bottom
C34,55.030983,-131.151644,270.0,bottom
C35,170.730983,-136.801644,0.0,bottom
C36,170.730983,-138.801644,0.0,bottom
C37,98.230983,-138.801644,0.0,bottom
C38,164.980983,-136.601644,90.0,bottom
C39,99.769218,-70.996644,90.0,top
C4,120.909218,-51.361644,0.0,top
C40,98.230983,-130.551644,180.0,bottom
C41,135.980983,-136.601644,90.0,bottom
C42,170.730983,-141.251644,0.0,bottom
C43,165.430983,-142.551644,0.0,bottom
C44,98.230983,-141.251644,0.0,bottom
C45,66.830983,-96.051644,270.0,top
C46,69.230983,-130.551644,180.0,bottom
C47,125.530983,-131.151644,90.0,bottom
C48,103.039218,-75.696644,270.0,top
C49,82.030983,-131.151644,90.0,bottom
C5,120.909218,-47.401644,0.0,top
C50,136.430983,-142.551644,180.0,bottom
C51,151.750983,-138.891644,90.0,bottom
C52,141.730983,-130.551644,180.0,bottom
C53,162.980983,-136.601644,90.0,bottom
C54,154.530983,-131.151644,90.0,bottom
C55,133.980983,-136.601644,90.0,bottom
C56,153.750983,-138.891644,90.0,bottom
C57,155.800983,-138.941644,90.0,bottom
C58,170.730983,-130.551644,180.0,bottom
C59,146.830983,-136.151644,90.0,bottom
C6,120.909218,-45.391644,0.0,top
C60,92.930983,-142.551644,0.0,bottom
C61,53.030983,-131.151644,90.0,bottom
C62,149.710983,-138.901644,270.0,bottom
C63,120.710983,-138.901644,90.0,bottom
C64,88.480983,-136.601644,90.0,bottom
C65,63.930983,-142.551644,180.0,bottom
C66,122.750983,-138.891644,90.0,bottom
C67,124.750983,-138.891644,90.0,bottom
C68,90.480983,-136.601644,90.0,bottom
C69,126.800983,-138.941644,90.0,bottom
C7,120.909218,-43.401644,180.0,top
C70,92.480983,-136.601644,90.0,bottom
C71,79.250983,-138.891644,90.0,bottom
C72,63.480983,-136.601644,90.0,bottom
C73,81.250983,-138.891644,90.0,bottom
C74,61.480983,-136.601644,90.0,bottom
C75,59.480983,-136.601644,90.0,bottom
C76,83.300983,-138.941644,90.0,bottom
C77,74.330983,-136.151644,90.0,bottom
C78,77.210983,-138.901644,270.0,bottom
C79,57.580983,-169.941644,0.0,bottom
C8,120.909218,-41.401644,180.0,top
C80,50.250983,-138.891644,90.0,bottom
C81,69.780983,-71.401644,90.0,top
C82,172.449218,-66.141644,90.0,top
C83,172.449218,-62.171644,270.0,top
C84,103.039218,-70.996644,90.0,top
C85,52.250983,-138.891644,90.0,bottom
C86,103.089218,-65.006644,270.0,top
C87,84.630983,-93.451644,0.0,bottom
C88,162.839817,-124.451644,0.0,bottom
C89,70.080983,-91.401644,90.0,top
C9,112.209218,-38.621644,90.0,top
C90,103.099218,-60.276644,90.0,top
C91,103.029218,-86.191644,270.0,top
C92,52.330983,-77.901644,0.0,top
C93,54.300983,-138.941644,90.0,bottom
C94,97.140983,-181.351644,90.0,bottom
C95,118.999218,-61.521644,0.0,top
C96,101.239218,-43.451644,0.0,top
C97,118.999218,-65.041644,0.0,top
C98,118.999218,-71.831644,0.0,top
C99,118.999218,-81.801644,0.0,top
D1,61.869218,-54.511644,0.0,top
D2,80.799218,-53.761644,90.0,top
D3,163.176718,-36.081644,180.0,top
F1,55.296718,-52.961644,90.0,top
J1,65.459218,-38.561644,180.0,top
L1,92.249218,-62.476644,0.0,top
L2,92.209218,-73.206644,0.0,top
L3,76.409218,-54.401644,90.0,top
L4,92.239218,-83.646644,0.0,top
L5,92.280983,-94.101644,0.0,top
M1,93.469218,-37.801644,270.0,top
M2,93.619218,-49.821644,270.0,top
R1,108.429218,-43.121644,270.0,top
R10,155.420983,-134.291644,0.0,bottom
R11,155.400983,-136.241644,0.0,bottom
R12,120.209218,-38.611644,270.0,top
R13,122.169218,-38.611644,270.0,top
R14,141.730983,-134.851644,180.0,bottom
R15,126.420983,-134.291644,0.0,bottom
R16,98.218483,-134.851644,180.0,bottom
R17,82.918483,-134.301644,0.0,bottom
R18,82.900983,-136.241644,0.0,bottom
R19,69.218483,-134.851644,180.0,bottom
R2,106.359218,-43.141644,90.0,top
R20,53.918483,-134.301644,0.0,bottom
R21,53.560983,-177.881644,0.0,bottom
R22,69.110983,-178.641644,180.0,bottom
R23,69.100983,-176.711644,180.0,bottom
R24,82.560983,-177.881644,0.0,bottom
R25,85.349218,-65.281644,90.0,top
R26,85.279218,-76.256644,90.0,top
R27,83.149218,-60.116644,270.0,top
R28,83.199218,-70.806644,270.0,top
R29,117.979218,-91.051644,270.0,bottom
R3,112.269218,-51.131644,90.0,top
R30,120.109218,-91.051644,270.0,bottom
R31,183.129218,-61.931644,90.0,top
R32,71.489218,-49.181644,180.0,top
R33,100.816218,-35.442642,270.0,top
R34,68.079218,-49.181644,180.0,top
R35,102.756218,-35.442642,270.0,top
R36,118.109218,-38.621644,270.0,top
R37,116.159218,-38.621644,270.0,top
R38,114.219218,-38.621644,90.0,top
R39,121.589218,-49.591644,0.0,bottom
R4,108.656718,-47.931644,0.0,top
R40,121.589218,-47.551644,0.0,bottom
R41,98.110983,-178.641644,180.0,bottom
R42,126.060983,-177.881644,0.0,bottom
R43,141.610983,-178.641644,180.0,bottom
R44,141.600983,-176.711644,180.0,bottom
R45,155.060983,-177.881644,0.0,bottom
R46,170.610983,-178.641644,180.0,bottom
R47,85.459218,-86.981644,90.0,top
R48,83.269218,-81.806644,270.0,top
R49,126.400983,-136.241644,0.0,bottom
R5,108.329218,-50.711644,90.0,top
R50,53.900983,-136.241644,180.0,bottom
R51,98.100983,-176.711644,180.0,bottom
R52,85.459218,-97.431644,90.0,top
R53,83.269218,-92.401644,270.0,top
R6,117.749218,-50.821644,90.0,top
R7,120.911718,-49.381644,180.0,top
R8,170.730983,-134.851644,0.0,bottom
R9,166.630983,-132.851644,90.0,bottom
U1,79.009218,-95.086644,0.0,top
U10,61.509218,-134.951644,180.0,top
U11,61.509218,-176.951644,0.0,top
U12,90.509218,-176.951644,0.0,top
U13,134.346961,-176.987887,0.0,top
U14,163.346961,-176.987887,0.0,top
U16,79.009218,-84.636644,0.0,top
U17,163.009218,-134.951644,180.0,top
U2,134.009218,-134.951644,180.0,top
U3,114.169218,-45.191644,90.0,top
U30,157.359218,-43.451644,90.0,top
U32,103.526218,-39.022642,90.0,top
U33,101.199218,-46.874144,270.0,top
U35,168.259218,-64.111644,180.0,top
U36,180.071718,-64.111644,90.0,top
U37,163.539817,-124.801644,0.0,top
U38,84.280983,-95.501644,180.0,bottom
U4,79.009218,-63.226644,0.0,top
U5,79.009218,-73.866644,0.0,top
U6,71.669218,-55.054144,90.0,top
U7,176.441718,-64.111644,90.0,top
U8,177.430983,-134.151644,90.0,bottom
U9,90.509218,-134.951644,180.0,top
